path_id	pc	variance_explained	sd	cum_var
hsa05022	PC4	1.7867610689786	1.34999862605788	9.36854239695654
hsa05022	PC5	1.70559599031971	1.3189798747995	11.0741383872762
hsa05022	PC6	1.65549522087792	1.29946339898263	12.7296336081542
hsa05022	PC7	1.59139025441335	1.27405575211669	14.3210238625675
hsa05022	PC8	1.57908536949323	1.2691205919388	15.9001092320608
hsa05022	PC9	1.53107262555544	1.24967758964725	17.4311818576162
hsa05022	PC10	1.51830286163349	1.24445526993386	18.9494847192497
hsa04146	PC1	7.99024435204358	1.16547910313631	7.99024435204358
hsa04146	PC2	7.39183105975558	1.12098674397089	15.3820754117992
hsa04146	PC3	6.97526123758844	1.08894187649756	22.3573366493876
hsa04146	PC4	6.71874752512524	1.06873152815442	29.0760841745129
hsa04146	PC5	6.67506439022917	1.06525158828277	35.751148564742
hsa04146	PC6	6.25774492930252	1.03141487190239	42.0088934940445
hsa04146	PC7	6.163887429592	1.02365075246914	48.1727809236365
hsa04146	PC8	5.92702591867782	1.00379002095818	54.0998068423144
hsa04146	PC9	5.75596729512213	0.989198888075984	59.8557741374365
hsa04146	PC10	5.64863082108712	0.979932262753304	65.5044049585236
hsa05133	PC1	6.37309262277726	1.28724670592785	6.37309262277726
hsa05133	PC2	4.98375350869459	1.13832153289859	11.3568461314718
hsa05133	PC3	4.90929275318572	1.12978587167139	16.2661388846576
hsa05133	PC4	4.72948470534533	1.10890307213471	20.9956235900029
hsa05133	PC5	4.59426046175371	1.09293536865451	25.5898840517566
hsa05133	PC6	4.46002843045174	1.07685068227561	30.0499124822083
hsa05133	PC7	4.32500657425557	1.06042524927807	34.3749190564639
hsa05133	PC8	4.150656195848	1.03883136789398	38.5255752523119
hsa05133	PC9	4.07939535882709	1.02987513480764	42.604970611139
hsa05133	PC10	4.0533328541705	1.02658002225074	46.6583034653095
hsa04145	PC1	6.96403978326418	1.64802169751282	6.96403978326418
hsa04145	PC2	4.15756780478919	1.27336225947991	11.1216075880534
hsa04145	PC3	3.63709513144044	1.19099416508301	14.7587027194938
hsa04145	PC4	3.5458076549584	1.17595279898208	18.3045103744522
hsa04145	PC5	3.44938548189386	1.15985358469878	21.7538958563461
hsa04145	PC6	3.30728469750571	1.13571168525609	25.0611805538518
hsa04145	PC7	3.19954865427608	1.1170604169729	28.2607292081279
hsa04145	PC8	3.10184950070266	1.09987331328387	31.3625787088305
hsa04145	PC9	3.05021881194598	1.09068113427295	34.4127975207765
hsa04145	PC10	3.01700263511571	1.08472624550857	37.4298001558922
hsa04070	PC1	6.69256851871135	1.63616240253972	6.69256851871135
hsa04070	PC2	3.57708579890223	1.19617486997549	10.2696543176136
hsa04070	PC3	3.4998372614821	1.18318844847	13.7694915790957
hsa04070	PC4	3.3493154176407	1.15746540641882	17.1188069967364
hsa04070	PC5	3.27999422281562	1.14542467632152	20.398801219552
hsa04070	PC6	3.25029023228633	1.14022633407343	23.6490914518383
hsa04070	PC7	3.22793959322533	1.13629918476171	26.8770310450637
hsa04070	PC8	3.08833148118666	1.11145516890006	29.9653625262503
hsa04070	PC9	2.98780236904997	1.09321587420783	32.9531648953003
hsa04070	PC10	2.91640535957755	1.08007506397982	35.8695702548778
hsa04072	PC1	5.09424480249998	1.65858137977911	5.09424480249998
hsa04072	PC2	3.22444674179828	1.31954584633163	8.31869154429826
hsa04072	PC3	2.98199819406769	1.26896770045441	11.3006897383659
hsa04072	PC4	2.76360434468759	1.22161628432634	14.0642940830535
hsa04072	PC5	2.71599262736125	1.2110474882411	16.7802867104148
hsa04072	PC6	2.6224869297528	1.19001804274831	19.4027736401676
hsa04072	PC7	2.5730446685935	1.17874684349121	21.9758183087611
hsa04072	PC8	2.48460176019589	1.15831124940828	24.460420068957
hsa04072	PC9	2.40512581145343	1.13963500217607	26.8655458804104
hsa04072	PC10	2.36625146074326	1.13038745074481	29.2317973411537
hsa04611	PC1	6.17315864031518	1.84261695752898	6.17315864031518
hsa04611	PC2	3.02399799883109	1.28965068889103	9.19715663914626
hsa04611	PC3	3.0039005088255	1.28535803566711	12.2010571479718
hsa04611	PC4	2.92707508552158	1.26881491835369	15.1281322334933
hsa04611	PC5	2.76038587471813	1.23215755124699	17.8885181082115
hsa04611	PC6	2.6393203200148	1.20483450150141	20.5278384282263
hsa04611	PC7	2.48288401387067	1.16858299133133	23.0107224420969
hsa04611	PC8	2.47537992372995	1.16681573440345	25.4861023658269
hsa04611	PC9	2.41666254741091	1.15289392446833	27.9027649132378
hsa04611	PC10	2.39122172691914	1.14680946534528	30.2939866401569
hsa03083	PC1	6.95449867335469	1.29192866738266	6.95449867335469
hsa03083	PC2	5.35018491782811	1.13315682069109	12.3046835911828
hsa03083	PC3	5.20159435544314	1.11731045162316	17.5062779466259
hsa03083	PC4	5.05950738515049	1.10194454145212	22.5657853317764
hsa03083	PC5	4.89194820510764	1.08354398582883	27.4577335368841
hsa03083	PC6	4.83998624348744	1.07777395516731	32.2977197803715
hsa03083	PC7	4.6873233024314	1.06064018054359	36.9850430828029
hsa03083	PC8	4.54042274565932	1.0438876658713	41.5254658284622
hsa03083	PC9	4.44761225362846	1.03316355959298	45.9730780820907
hsa03083	PC10	4.44147855172608	1.03245089588525	50.4145566338168
hsa05020	PC1	4.85761472657671	1.55846314145967	4.85761472657671
hsa05020	PC2	3.41849157729209	1.30738127133826	8.2761063038688
hsa05020	PC3	3.0149418808285	1.22779108174569	11.2910481846973
hsa05020	PC4	2.92743956884435	1.20984287592322	14.2184877535416
hsa05020	PC5	2.77591641266558	1.17811638064021	16.9944041662072
hsa05020	PC6	2.70602367060916	1.16319036933108	19.7004278368164
hsa05020	PC7	2.67044122989319	1.15551746630962	22.3708690667096
hsa05020	PC8	2.5495757622114	1.12906504733151	24.920444828921
hsa05020	PC9	2.49403658197433	1.11669973179327	27.4144814108953
hsa05020	PC10	2.44333171124714	1.10528994188112	29.8578131221425
hsa04914	PC1	4.61731200765743	1.27124317212723	4.61731200765743
hsa04914	PC2	4.11605102102591	1.20025741295735	8.73336302868334
hsa04914	PC3	3.99141810596034	1.18194599584165	12.7247811346437
hsa04914	PC4	3.87785804684256	1.16501086535487	16.6026391814862
hsa04914	PC5	3.74203709693211	1.14442692380346	20.3446762784184
hsa04914	PC6	3.64975495131221	1.13022751380387	23.9944312297306
